Review,negative_word_count,positive_word_count,label
 I booked this hotel to celebrate my mum s birthday and booked 3 months in advance with a very small request i e a little surprise in the room on arrival and also i booked a twin room I made my request through booking com and i reconfirmed by reservation with the hotel 2 days before and they said everything was noted and would be accomadated for on arrival the staff were friendly and the hotel entrance was impressive but when i was talking to the checking staff i was then told that the little surprise for my mum would not be ready in the room when we arrived in the room it was lovley but unfortuntley it was not the room we had booked as this was a double bed and not a twin bed so i went back down to check in and they said they would get housing keeping to sort this out The maid who came didn t understand what to do and looked extremley exhausted and tired so i helped her to split the bed and make the bed up as twin beds as i felt quite sorry for her Also the bathroom there was a sliding door you had to move to go into the toilet and shower this was extremely heavy to move i did ask the maid how to move it and she demonstated at holding one end of the door and just push very difficult especially for my mum By now i couldn t be bothered to go back downstairs and complain as this was for my mum birthday The little suprise that should of been in the room was delivered later in the day while we were in the room so the surprise was not really as i planned it I would like to say the breakfast staff were excellent especially Jennifer who was so friendly and knowing it was my mum s birthday organised something with the chef for my mum this was so sweet of her great customer service excellent memeber of staff should be awarded a Reward and Recognition for her hard work and great customer service overall the hotel was lovley the pool and sauna was clean and the gym was well equipped with up to date equipment ,0,384,1
 To the management and especially all the staff at this hotel I couldn t say thank you enough I was planning a romantic surprise trip to Paris to propose to my OH The staff on reception especially Thomas and Julien went beyond their dutys to ensure our trip was special On arrival we only had to wait 10 minutes for our room to be ready even though we were 2 hours earlier than the stated 3pm check in Check in was quick and without any problems and soon we were unpacked and ready for our few special days even if my heart was about to burst out of my chest with nerves for the proposal that evening On our way out Thomas and Julien pointed us in the right direction for all the main sights champs ET Arc De T Louve and also for gluten free resturants as my OH had special dietary requirements I proposed that evening after an amazing nightime cruise on the Seine and managed to photograph the proposal thanks again to the help of the staff at the hotel As a photographer I set up all my equipment to take a romantic couple shot something I always do on trips away with the Eiffel Tower in the background To the staff member on duty the night of the 23rd of April at 11 40pm I didnt get your name too nervous but thank you so much for your help Another example of helpful and friendly staff to make our trip memorable The next morning we were upgraded to room 615 and the view was absolutely stunning Our own personal view of the ET I will attach the photos The rooms were spotless and cosy We got a deluxe room and would highly recommend them The bathrooms were clean and while the rooms arent massive they were perfect for us so don t let that bother you We only got the breakfast once over our 3 days It wasnt included in the room price so we paid 30 each I have to say it is worth the price and the service was second to none We got cereal an omlette a fry fresh yoghurts fruits and breads juices teas and anything we wanted ,0,378,1
 LOCATION perfect STAFF we went into the wrong hotel initially thinking that the Park Plaza Building at the westminster bridge is the same as the county hall hotel It wasn t The staff at the Park Plaza Westminster hotel were all very warm and welcoming Their hospitality felt genuine right from the guy who greeted us at the main entrance all the way up to the lady at the reception who gave us directions going to the Park Plaza county hall hotel which was the adjacent building at the back They were all smiley and happy to assist us On the other hand the staff at the county hotel were polite and did their job alright The lady at the reception gave us a voucher for two complimentary drinks at the bar while we waited and they checked if the room was the ready It was a quick 10min wait which was fine No greeting nor smile at all from the bartender and the waiter at the Spectrum Bar It was 1500H and the bar was definitely not busy The difference between our experience between the staff from both Park Plaza Hotels was just really evident that I had to put it here ROOM SUPERIOR Room We stayed for our anniversary We got a complimentary full bottle of wine greeting card and they decorated our room with petals and swan folded towels We were also assigned to a corner room with a view of the big ben and london eye which was very beautiful at night The TV monitor in the room serves like a multimedia browser where you can view your current room bill do self check out watch youtube videos listen to the radio etc The bedroom and bath were just the right size It was not small but not too big as well We didn t have a lot of luggage with us so it was just right Mini bar was stocked with the basics We liked that there were extra pillows for us to use Bed was comfortable to sleep on but was really really squeaky and we re not big people at all if you know what i mean BREAKFAST good old continental and english breakfast ,0,373,1
 These days when I go to London I want to stay in Hackney as my daughter lives there with her boyfriend And this place is virtually just a minute s walk away from her place You can either enter through the pub or through the hotel entrance at the back Fairly informal and relaxed atmosphere which is something I personally really like The Old Ship Inn is just around the corner from Hackney Empire and on Mare Street or around the back from Sylvester Path This time around I arrived really late but there was no problem whatsoever for my daughter to pick up the key for me Great service Stairs were a bit narrow and winding but hey It s the back of a pub and the rooms are on top of that very pub I like it Gives it a quaint and personal feel Only thing was that I didn t quite know how to get out in the morning but there was a button just slightly beside the door that I didn t see Not right AT the door but near it Anyway This was no biggie and I got out from the staircase and into the pub for breakfast I had a full English breakfast and it was simply to die for No black pudding but still extremely good Really good The girl at the counter had some problems understanding English but she did her best and seemed friendly The room was towards the back of the house where there s a rather narrow street which means people residing on the other side of it are able to look into your room should they choose to and vice versa of course I didn t think this was a problem at all as the window was frosted but if you want more privacy Creaky floors but to me again it gives it that quaint and personal feeling Also shows that it has history Once I was awake I could hear the creaking of the hallway as people passed but it really wasn t anything that disturbed me There are far more disturbing noises all around London traffic police cars lorries screaming druggies and drunkards and what have you ,0,373,1
 The entrance to the hotel is strange as you enter via a typical private apartment entrance Enter the lift to the 8th floor and then you are in the hotel in every sense of the word The very professional and welcoming reception staff welcome you and explain everything to be honest they could not have been more helpful Explaining the City and also about a 48 hour unlimited tram access card for 12 5 euros available to buy from reception very good value and made getting around the city very easy and cheap The furniture and style of the hotel is stunning great attention to detail nice clean lines and the room was beautifully presented and had everything you could want or wish for Not the largest of rooms but not small Very clean and large comfy bed we had a problem with fusing the lights and it was attended to immediately and someone came up from reception to make sure we were ok The breakfast was good nicely laid out and they would cook eggs omelet etc for you on demand and with anything you wanted to go with it Its a long time since I have been to a hotel where everything was so clean and welcoming I was unsure if the hotel was too far out of the City when booking but because we were driving and the hotel have parking close by at 5 euros per day rather than 60 80 per day in the center I decided to try There is a tram stop outside the hotel and armed with our cards we hopped on and off the trams during our two day stay never having a problem finding out where we wanted to go The 14 min tram ride into the city was easy quick clean and efficient On Saturday night we were later that 12 30 when the trams stop running and it was 25 euros for four of us to get back to the hotel The savings on the parking more than made up for that I would recommend this hotel to anyone in fact I am booking the hotel for myself and four friends in July which is the highest recommendation ,0,372,1
 Everything From the moment we stepped into the hotel to the minute we left we loved every moment Me and my wife love luxury and this was a treat for her birthday We live reasonably close to London for a start so neither of us fancied going out so we stayed in the hotel The staff were amazing and friendly They couldn t do enough for us We ordered from the in room dining menu which was extraordinary We both had the burger on the menu and was astounded when i was asked how did i want the burger cooked Around 30 minutes later the food arrived and was pushed into the room by one of the hotel staff The trolley the food was served in folded out as a table to we were able to sit around this to eat whilst enjoying the London Skyline The food was amazing I have never eaten something so delicious in all of my life I don t think i could have eaten any more than a main and a desert as it was so filling The rest of the evening was spent using the binoculars supplied by the hotel to gaze at the London Skyline From our room you could see the Southbank with the London Eye staring back We could see Big Ben illuminated in the back ground St Paul s Cathedral was right across the river from us and we had a fantastic view of London Bridge After a luxurious nights sleep in the biggest most comfortable bed we ve ever slept in we looked out over the morning London skyline which was somewhat more dismal and grey than the night before but being in The Shard made the weather irrelevant We went to breakfast which was included in our stay We were greeted at the entrance to the restaurant and shown to a table The chairs around the table were actual armchairs We were asked to get our food from the buffet which was the usual egg bacon sausage hash brown etc The food again was amazing We returned to the room to pack our things Everything had been amazing and was even better than we had imagined ,0,371,1
 This hotel is just fabulous We a group of six females stayed 27 to 29 January when the hotel reopened as Pillows Anna formerly Santon Hotel de Filasoof The decoration of the hotel is exquisite and makes you feel at home I highly recommend for solo travellers couples and small groups Upon our arrival we was greeted by the staff who welcomed us and sat us by the fireplace This was so cosy and warming given the very cold weather We stayed in the luxury double small rooms Each room is slightly different given the shape of each room however each room is as nice as the other My room 103 faced the front of the building which gave views of the street and the beautiful buildings opposite We also had a balcony which added another special touch The large double bed was very comfortable and allows for a good nights sleep The shower was also great with a good amount of water pressure The hotel is a 13 minute walk to Leidseplein or the number 1 tram can be used There is local supermarket nearby as well as coffee shops for breakfast We had breakfast at the hotel during our stay for the two mornings and this was delicious The staff are very attentive and willing to go the extra mile to please you I had yoghurt and granola scrambled eggs and toast Other options are available including smoked salmon local cheeses pastries and fruit to name a few The selection is good and it is nice that the kitchen is open for the visitors to see which also makes you feel as if you are at home rather then in a hotel The dining area has views of the garden and the neighbour s gardens This was extra special as two horses can be seen which is unusual to see in a city The hotel has a traditional spiral staircase which can be used however there is also a lift so would be ideal for any visitor with any mobility difficulties This is one of the best hotels I have stayed at and will be staying at again when I return for a future visit ,0,369,1
 From start The hotel accommodated my requests via email before our holiday The hotel itself is two minutes walk away from Sants station but don t be put off from this we heard no noise from our room On arrival we were an hour and a half early not expecting our room to be ready I wanted to ask if we could leave our bags at reception for safe keeping to which I was told we could check in as our room was ready The lady that dealt with us at reception was lovely very friendly and welcoming as were all staff that we met The room that we were allocated was on the 9th floor as i requested to be close to the roof top pool The balcony offered fantastic reviews and the room had everything we needed If I was picky I could say that tea coffee facilities would have been nice and an updated TV too but we weren t on holiday to stay in the room We didn t use the bar or restaurant we only used the pool on one occasion and we weren t disappointed It was quite busy around 5pm but the rooftop area was big enough to offer you your own space without feeling crowded The life guard on duty offered us serveral towels and was a pleasant chap My two sons loved the pool The pool itself is quite small but at one point I counted around 10 people enjoying it without it feeling like sardines On returning from our adventures each evening we returned to a cleaned room with fresh linen on every day and fresh towels and it just felt nice credit to the cleaning staff As i said before we didn t use the restaurant for breakfast or dinner We went to some local eateries all within a couple of minutes walk I would recommend El Pati for dinner the tuna steak and paella is out of this world and around 8 each which was a steal El Pati is opposite the hotel and there is a little pastry sandwich shop around the corner from the hotel two pastries for 1 and they were devine ,0,369,1
 This is our second time at the Montcalm Our first stay was in January 25th 26th for our birthdays and we was delighted by the hospitality of the staff from the door man to the guest experience agent krystine who went the extra mile in terms of our overall stay On arrival we was greeted promptly with door service complimentary glasses of presseco as we checked in and help with our bags to our room Overall we enjoyed our time in the MCRL hotel and the only let down was very minor being the underfloor heating in our bathroom but we was assured that all will be amended by the next time we come back Our second stay was 2 nights spend over this easter April 16th 18th and again the staff was completely professional and helpful The stay was again great but we had some concerns on the day of checking out My partner had been bitten by what could be a bed or dust parasite on her calf and lower left ankle We took pictures of the inflammation of the bites and will be contacting the hotel to prevent any further such happenings A slight downer to our break We was also slightly confused as to why the admittance to the sauna facility now closed half an hour early then on our previous stay but we was happy to see the changing room was both running in accordance to this hotels standard As for the staff present during our stay we would definitely like to thank Ivet the guest experience agent who provided assistance from even before we arrived in terms of any special requests we may of needed Daniel who was also very helpful He handled our bags with care as he took them from reception to room and even then went the extra mile to provide additional help by going to the aviary to bring my fianc and I the dining menu explaining how great the food and ambience was Also we would like to thank Johnny and Clairease who work as waiter and waitress in the avairy for such pleasant hospitality and would definitely be coming back very soon ,0,366,1
 The place is by far the best Traveling to Paris for a 3 night stay over New Years Our experience started with a kind email from the hotel Benoit offering to arrange a limo service to collect us from the airport We availed of this facility with was prompt and friendly and got us to our hotel in superior comfort On our arrival we were met by with a fantastic and warm welcome which set the tone for and exceptional stay Our room was not ready as we were early but they kindly kept our bags and explored the city I did ask for them not to rush the room I m happier for it to be cleaned correctly I m a bit of a stickler on cleanliness in hotels When we returned we were brought to the room and our bags had been brought up there was music playing on the rooms iPad We were presented with complementary gateaux s from the Thouimeux Bakery In addition we were advised of the Dring me service Which is a free phone with Dring me installed providing free international calls so we could ring home on new years The phone could also be brought out with you anywhere in Paris It had maps app not google so we could locate the places we wanted to see and it provided up to date transport options buses taxi metro and walking This information was live so when public transport was free on New Years Eve it told us first We brought it everywhere and were able to make our early new years calls home with out the worry of roaming charges or the worry of getting lost The rooms are as good as they are advertised in every element From the luxurious duvet and pillows to the marble floors and porcelain sinks funky mirrors slippers and dressing gowns provided The air conditioning for me as with all hotel rooms was slightly noisy at night noting that this was the normal operational sounds for this system the engineer in me but this can be turned off from the controller in your room if your a light sleeper ,0,364,1
 I was really looking forward to staying here as its a mythical name in hotels and the beautiful facade clearly demonstrates its period splendour First impression when you walk in it s a bit ordinary and sort of like almost any Hilton anywhere There are many gorgeous period details like the palm court the iron work the wonderful old doors and old the marble staircase But you don t notice those straight away it felt a little soulless and ordinary and I think the entrance and initial public rooms could have been made to be much more elegant and in period That said I found our room very comfortable all the corridors are well decorated and clean not exactly my taste but overall very comfortable and the bathroom was lovely even if the bath tub was a little small and no overly comfortable to shower in No wifi in rooms you have to pay which is just plain mean for a hotel of this cost The health centre was a disappointment It s actually a gym open to membership to anyone and that wasn t clear to me Consequently it felt like any gym anywhere else Facilities were fine and the pool room was nice One of the reasons I chose the Waldorf was for the pool as I wanted a relaxing afternoon by the pool reading Sadly that was not possible given how extremely noisy it was with children and families playing The management need to police how the pool functions for everyone s benefit It also closes at 5 on a Sunday and given check in is at 3 I was very disappointed the concierge hadn t mentioned this when we booked Breakfast we had to wait in a short queue to be seated Overall the breakfast was good and plentiful but I don t think the cooked breakfast was excellent When we left at 8 45 the queue was very long so make sure you go early This dining room is not rally big enough for the number of rooms in the hotel and if a lot of people turn up the queue is long ,0,360,1
 The location is wonderful as it is close to restaurants a large grocery store metro stops hop on hop off bus stops the aerobus stop to the airport and the bus stop for some day tours outside Barcelona Perfect base for sightseeing within Barcelona as it is at the top of Las Ramblas and close to the Gothic Quarter Nice bright large clean rooms My husband now wants us to install a similar rain shower head in our shower Excellent internet connectivity We opted for twin beds and they were comfortable We stayed here twice over a period of three weeks once for four nights and another for one night before and after a cruise We informed them that we would be arriving early on both visits I expected that we would need to leave our luggage but we were pleasantly surprised when they let us check in to our rooms upon arrival both times at no additional cost We had a little inconvenience with workmen doing work outside our room at 8 a m Normally not a problem since we are usually up and out early Hotel staff responded to our concerns immediately Reception staff was not aware that work was to be done on our floor that morning and they said that work is usually done later in the day to avoid any disruptions for guests Staff went over and above in ensuring that the rest of our stay was wonderful Can t say enough about the staff All employees that we saw and dealt with from reception to doorman to restaurant staff were very pleasant friendly and very helpful The one minor drawback to the room is that we wish there more electrical outlets Also the placement of the existing outlets could have been better There were two outlets in the bathroom and one at the desk available for use We unplugged a lamp to use an outlet by a bed We travel with two phones two tablets two fitbits two cameras and one curling iron which makes charging items a challenge Next time we are in Barcelona this is were we will stay ,0,359,1
