Reviewer_Score,Review,label
8.0,"The breakfast, kept running out of food, staff running round like headless chickens, tables not cleared.  Great location  ",1
9.0,"Nothing that I can think of right now.  Conveniently located in the city center of Amsterdam. Quiet and clean room. The size of the room is not big but the furniture is carefully designed that even a proper work desk is fitted.  ",1
8.0,"The bathroom inside of the room lacks privacy. It didn't even have a real door, just a glass barrier type of thing. The room rate is more on the expensive end.  Great location at the heart of Amsterdam city center. The hotel overall is clean and comfortable, the staff was very helpful, and the room was adequately equipped.  ",1
9.0,"The view from the window faced a wall/another window which as I had booked so early in advance thought i would of been allocated a better room, also when we arrived to check in our room wasnt ready which is fine as it was 9am and check in wasnt until 3pm but when we came back the lady on reception looked like she hadnt allocated us a room as we were there for 10/15mins and she was going in and out of the office area to speak with someone and eventually gave us a room when we should of just been handed keys, also when I left the card on the door for the room to be cleaned we left and came back and it hadnt been cleaned approx (6hrs) which was ok but the cleaner did knock and we left again to let them clean the room, came back and it didnt look or smell like it had been cleaned, the bed was just bearly made and towels were changed. This was the onl  Staff were very friendly and very apologetic about the issue with the room when checking in, the location was great the room was a decent size, quiet enough hotel but could enter and leave as we pleased, the t.v worked and had multiple channels, would definately stay again.  ",1
9.0,"No complaints really.  Central location. Very clean and tidy and quite modern. Staff were very accommodating, and I had great assistance from a staff member called Diago who was always available for help. My room was quite small but was very clean with a modern bathroom. Key card access for guests and coffee available all day at reception area. Really close to central station and surrounded by lovely bars restaurants etc.  ",1
9.0,Great hotel with friendly staff.  ,1
9.0,It was friendly and clean.  ,1
8.0,Hotel was in a great location   Room was very clean and maintained  ,1
9.0,location was brilliant  ,1
8.0,Pillows far to soft  Nice rooms. Great location  ,1
8.0,Dirty carpets  Location  ,1
8.0,"Amazing location, comfortable and clean rooms  ",1
7.0,the rooms were quite small and t night could seem to hear every movement on the my floor and floor above. Also got walked in on by housekeeping 2 times.  the location was great and the staff were all very friendly.  ,1
8.0,"few stains in the room on floors  staff were very friendly, very good location  ",1
7.0,Good basic hotel in an excellent location with very helpful staff.  ,1
7.0,location is just right in the city center 10minute walk from CS  ,1
9.0,"household did minimal cleaning of room. Used coffee cups were not replaced, soap dispensers were not replenished  excellent location, friendly and efficient staff, all the facilities you need. Good value for price  ",1
8.3,"Very central , our bed was made everyday which was a luxury , we really enjoyed our stay  ",1
9.0,"If I was to find a fault it would be that the room was small but still adequate for our needs .  I liked that the hotel was v central, secure , clean , staff were v helpful & obliging, breakfast was lovely with plenty of variety, I wouldn’t hesitate In recommending this hotel.  ",1
9.0,Room was quiet small  Great location  ,1
9.0,nothing really  Location was great! Room was a good size.  ,1
8.0,"I should have gotten a bigger room. It was tight.  The location was convenient for all the attractions. We arrived early and were going to just drop off our bags, but the room was ready.  ",1
7.0,small rooms but it was enough  very close to dam centre  ,1
