Hotel_Name,Title,Review,rating,label
HOSHINOYA Tokyo,Excellent urban ryokan stay in Tokyo,"A unique and relaxing urban ryokan concept in Tokyo -- truly a one-of-a-kind. The top quality traditional Japanese furnishings and finishes were well-complemented by the high service standards provided by the HOSHINOYA Tokyo team who worked hard to accommodate guests' comfort, from delicious in-house prepared meals to customized activities such as kendo exercises, yukata-wearing, tea ceremony, Otemachi city walks, and sake-tasting. A wonderful ometenashi experience.",50,1
HOSHINOYA Tokyo,Top-notch guest service,"First off, I sought for an assistance to propose to my girlfriend at during our stay. The team at the HOSHINOYA Tokyo really have done what they are great at. It's the perfect place for the guest who wish to stay there for any special occasion. Start from a Front Office Manager, Ryoto-san who arranged most of the things prior to our arrival. Misaki-san who's in-charge for our arrival, and probably setting up of my surprise requests. The receptionist who kept communicating with me under my unstable plans. They all were superb and beyond my expectation. Pros: Staffs of course!, Real Onsen on the 19th floor (Dont miss!), lots of available activities during the stay. 24hrs relaxing lounge on each floor. Cozy room with tatami and a huge bathtub. Cons: The only thing you can find",50,1
HOSHINOYA Tokyo,Not worth more than the price,"The room and lounge per floor are cozy and we loved loof-top and stylish Onsen. However, it seems the staff are relatively new and just telling what they memorized. Their service was good but not more than we expected for their price. Regret it is facing to a tall building so no nice view can be expected.",40,1
HOSHINOYA Tokyo,Unique and Very special,"Excellent, beautiful hotel. If you want a truly Japanese experience you must visit and stay at least 2 nights. The hotel onsen is the most amazing place on the roof in open air it’s as though you are in a different world and the warm sleep inducing waters come from the spring in the earth underneath..... you must do room service it’s wonderfully Japanese and unique.",50,1
HOSHINOYA Tokyo,Might be worth staying once,"For many folks that are rushing through a Japan trip, the Hoshinoya Tokyo might be able to provide the only ryokan experience they'll ever have. For such purposes, it fits the bill. However, I would recommend that people try staying at a real ryokan in the countryside if they're looking for something truly authentic. This hotel is certainly stylish, and has a large number of English-speaking staff, which affords a first timer with a stress-free time in Tokyo. The interior decor is modern rather than traditional, which may or may not suit what someone is looking for in a ryokan-style property. Compared to some other luxury properties in Tokyo, the Hoshinoya falls short in several areas. First off, the entry-level rooms are on the small side. They're not tiny, but don't offer",30,0
HOSHINOYA Tokyo,Stunningly beautiful ryokan style hotel,"What a wonderful find. A truly beautiful hotel with large, well-equipped rooms and a really warm welcome. Every member of staff we met was a delight - helpful, attentive and always happy to chat and make recommendations for things to do or places to go. Highly recommended",50,1
HOSHINOYA Tokyo,A True Urban Ryokan Oasis,"Great hotel atmosphere, and accommodating and helpful staff. I enjoyed the unlimited ‘round-the-clock snacks and drinks in the lounge. I loved the indoor and outdoor onsen in the heart of Tokyo; a true urban oasis! It was a relaxing experience after a long day sightseeing.",50,1
HOSHINOYA Tokyo,One of the most unique and finest hotel stays I have ever experienced. Top marks from the staff to the gorgeous rooms,"Gorgeous large rooms, a staff willing to go above and beyond and a stunning onsen bath on the rooftop that made Tokyo feel like a tranquil spa. Unreal experience. Unique breakfast room service, cultural activities nightly, and a Ryokan in the city decor that needs to be seen to be believed.",50,1
HOSHINOYA Tokyo,Zen in the middle of Tokyo,fell inlove with this grogeous traditional hotel in the middle of Tokyo / the onsen on the roof was an absolute dream . The perfect place to unwind after exploring the hustle and bustle of the city . Oh and the breakfast and comp snack are so naughty but so nice !,50,1
HOSHINOYA Tokyo,Exquisite,"Amazing in every sense of the word! Quite literally the BEST accommodation I have stayed in. Attention to detail is unsurpassable, the welcome that every guest receives makes you feel like royalty. There should be a 6th star just for this place and its staff.",50,1
