,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_depth,param_criterion,param_bootstrap,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,241.09870448112488,5.649815577386557,1.9080940246582032,0.037884382444126355,2171,2,2,200,entropy,True,"{'n_estimators': 2171, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_depth': 200, 'criterion': 'entropy', 'bootstrap': True}",0.960625,0.9484375,0.9484375,0.959375,0.9496875,0.9533125,0.0054936042358363964,6
1,23.145898199081422,0.5240317541086736,0.7767054557800293,0.07765982063553838,1135,2,1,10,gini,True,"{'n_estimators': 1135, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': 10, 'criterion': 'gini', 'bootstrap': True}",0.95125,0.9353125,0.9359375,0.9478125,0.93625,0.9413125000000001,0.006804754771481485,18
2,66.31980981826783,0.5116110789006881,0.8711946964263916,0.01124448849444777,1135,5,4,20,entropy,True,"{'n_estimators': 1135, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_depth': 20, 'criterion': 'entropy', 'bootstrap': True}",0.9571875,0.9434375,0.9434375,0.953125,0.943125,0.9480625,0.00593388047570894,17
3,161.92979922294617,0.8721007122307035,1.4785062789916992,0.02211994692543799,1757,20,4,50,entropy,False,"{'n_estimators': 1757, 'min_samples_split': 20, 'min_samples_leaf': 4, 'max_depth': 50, 'criterion': 'entropy', 'bootstrap': False}",0.96,0.945625,0.9478125,0.95625,0.948125,0.9515625,0.005555121510822237,10
4,18.066099071502684,0.10820455604447742,0.24119954109191893,0.010082316104517854,307,10,2,20,entropy,True,"{'n_estimators': 307, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_depth': 20, 'criterion': 'entropy', 'bootstrap': True}",0.9571875,0.9440625,0.94625,0.955,0.94875,0.9502500000000002,0.0050443346934952405,14
5,12.046106815338135,0.058863900846253946,1.04989914894104,0.0187774607406457,1964,30,2,5,entropy,False,"{'n_estimators': 1964, 'min_samples_split': 30, 'min_samples_leaf': 2, 'max_depth': 5, 'criterion': 'entropy', 'bootstrap': False}",0.934375,0.9221875,0.9171875,0.933125,0.9225,0.9258749999999999,0.0067122788604168995,21
6,98.56350011825562,0.6564642238701061,0.8139005661010742,0.011167546290380468,928,10,4,200,gini,False,"{'n_estimators': 928, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_depth': 200, 'criterion': 'gini', 'bootstrap': False}",0.9571875,0.9484375,0.9465625,0.955,0.9478125,0.9510000000000002,0.004259181259350197,12
7,74.15380024909973,0.4322468713822468,0.7583940505981446,0.019417253010594222,928,15,3,50,entropy,True,"{'n_estimators': 928, 'min_samples_split': 15, 'min_samples_leaf': 3, 'max_depth': 50, 'criterion': 'entropy', 'bootstrap': True}",0.9596875,0.9478125,0.946875,0.956875,0.9484375,0.9519375,0.005278938103444681,8
8,164.45969910621642,0.8804079320460502,1.7482896804809571,0.010202302839710927,2171,15,4,75,entropy,True,"{'n_estimators': 2171, 'min_samples_split': 15, 'min_samples_leaf': 4, 'max_depth': 75, 'criterion': 'entropy', 'bootstrap': True}",0.9584375,0.9459375,0.945625,0.9565625,0.94625,0.9505625,0.005698821150027433,13
9,1.8985999584198,0.05454459550340399,0.1800990581512451,0.03167603683368568,307,10,1,5,gini,True,"{'n_estimators': 307, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_depth': 5, 'criterion': 'gini', 'bootstrap': True}",0.9315625,0.916875,0.9159375,0.93,0.9184375,0.9225625000000001,0.0067759916248472515,24
