title,review,rating
An experience to be repeated .,We went for a late lunch and we were amazed by the quality and presentation of the food. The glamour of the hotel and restaurant and the kindness and sympathy of Roland and Hans. The lobster is to die for. We finished our meal convinced that we will soon be back.,50
Afternoon tea disappointing,"The afternoon tea is below standard. First, all tables are served at the same time for each of the 4 “courses”, which takes way too much time between the courses - we ended up being there for more than 3 hours. A lot for finger food and tea. The pairing of different teas for each round is nice, just a pity that it was sometimes luke warm. Sandwiches were average despite the fancy description (salmon yuzu hardly tasted of yuzu and others were very simple). The pastries were ok but the chocolate rocher was nothing more than a larger Ferrero Rocher. Finally the scones were very small, very dry, and there was plain cream instead of clotted cream. The lemon curd was nice though. We have high standards perhaps, but this is not what one would expect from a high tea, especially at this",30
bad value for money,"i am rating this hotel with 2+ but, do not misunderstand me, it is a good hotel. historic building, well maintained, elegant, clean... however... i did not find a good value for money. to start, the location is not the best in amsterdam, far from the dam platz and the main museums (half an hour walking to any of these points). the porter at the entrance by the day when we arrivedwas behaving like a policeman in an alcohol control by the manners in which he was asking for the vaccination proof. with an exception, the receptionists did not reach the level either. the concierge who borught the luggage to the room had no interest to explain anything about the room features. guests were allowed to refrain from using their face masks inside the hotel. the room was ok, clean",20
Excellent place to stay,"The hotel is located on the Amstel river in a pleasantly quiet and beautiful neighborhood. Sleep quality is very satisfying. It is a historic building: its exterior appearance and the hall are really impressive. Rooms are spacious, clean, well-appointed and well-equipped, clearly tilted toward a classic, French-like style. Reception and service are very attentive and kind, just what you would expect in such an establishment. Food at the restaurant is very good (I did not try breakfast though). In sum, a great experience. Only two bones to pick: the duvet on my king bed was laid in an odd way, because it did not cover the whole surface of the bed (I was alone, so I didn't ask Housekeeping to solve the problem); as it happens very often, the food and drink voucher for Ambassadors",50
"Great tea and food, but feels like I'm on an assembly line",Overall we had a good experience. We do feel that this is one of the more mass products from the hotel. For instance we arrived 30 minutes early. The person at the reception said that this was no problem and that we could wait in the lobby. Obviously waiting for 30 minutes in a lobby does not make a lot of sense on a sunny day. Especially when you consider the terrace was quite empty. It adds to the feeling that the afternoon tea group is really something separate from the 'real' hotel guests. You also notice this when the entire group that is coming for the tea is waiting together and is only seated at exactly 16:00. After this a runbook or playbook is done which is identical for everyone. You get really good tea with a nice background story. The tea is paired quite well,30
Amazing stay,"Everything was great, definitely one of the best hotels in Europe! Very spacious rooms and very clean! The breakfast was also incredible, unfortunately there is no buffet but the À la carte menu has a very good choice. The staff was friendly and polite especially the staff at breakfast! They have also a very good spa center whit sauna and steam bath.",50
High Tea - dissapointed,"I fully agree with the review of Marcel: we too were so excited to go and have a high tea at the Amstel Hotel! But such a shame: we expected high standard and a real genuine high/afternoon tea, but we were surprised to have poke bowl and cheviche as part of the bites, the cakes looked lovely but were too small and we expected to have unlimited access to tea in teapots: we were served 4 small cups of tea each. For 50,- euros per person we expect quality in the way you think you will get at the famous Amstel Hotel..... The waiters/waitresses did their job well, only good things to say about them. They offered to take picture of our group and we could ask for more information about the tea served. I would recommend to do some research in high class afternoon tea's which are served",20
Disappointing high tea experience,"We are Dutch, living in Amsterdam. The Amstel hotel is one of the most outstanding hotels in town.... they said... Visiting the Amstel hotel was on our list for many years. Yesterday we experienced the Amstel with their high tea afternoon special. The building is amazing on the outside, the inside spiegelzaal is old fashioned and very outdated. It needs a lot of renovation. The paint hangs loose on the walls, the used colour pattern is of the beginning of the 90's. Nice if you're of old age but not compelling at all to anymore younger than 75... The teas were nice. The starter was unworthy of the name and fame of the Amstel. It was average to okay. The breads were standard. Nothing special. The sweets were fine. The only part that was as expected to get at the Amstel hotel.",30
Amstel Afternoon tea,"What a delightful afternoon we had with a group of 4. We enjoyed every aspect, the spiegelzaal, the impeccable gentle caring service, the divine combination of teas and food. In dutch we would say, het is een aanrader.",50
Public spaces are lovely. Room overlooking the river: Shabby!,"Beautiful building well appointed in public areas, Excellent service. Friendly staff. Attentive to pet requirements. But King Room 306 river view is shabby at best. Stains on curtains, worn rug with stains. Molding in bathroom rotting. Paint worn off wardrobe door. A delightful location with excellent restaurant and beautiful bar and pool at river level.But value for money seriously insulted. I will return for the public spaces but cannot recommend the hotel for overnight.",20
